trip_id,route_id,stop_id,arrival_delay,departure_delay,event_ts
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,447,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,1593,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,1054,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,908,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,233,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,2665,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,868,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,2861,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,1198,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,1199,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,548,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,247,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,275,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,1302,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,1073,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,557,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,1281,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,480,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,117,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,1153,0,0,1970-01-01 01:00:00
6414327-07_A_49_0711_17:08-SETP2025-07-L-Ma-J-V-41,07,701,0,0,1970-01-01 01:00:00
5838463-52_R_5_5202_18:15-PROJET2025-52-Semaine-20,52,3304,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,2963,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,5246,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,21543,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,5250,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,5158,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,5103,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,5028,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,5098,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,5093,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,5162,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,4005,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,4089,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,4156,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,4122,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,4016,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,4138,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,4026,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,4120,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,4112,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,4144,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,4054,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,4094,0,0,1970-01-01 01:00:00
6416083-21_A_50_2105_17:32-SETP2025-21-Semaine-40,21,4070,0,0,1970-01-01 01:00:00
6355846-18_A_50_1803_18:18-SETP2025-18-Semaine-39,18,1152,0,0,1970-01-01 01:00:00
6412304-71_A_50_7102_18:00-PROJET2025-71-Semaine-80,71,1446,0,0,1970-01-01 01:00:00
